SENSOR PIN,ARDUINO PIN,WIRE COLOR,WIRE LENGTH,STATUS,,vcc-gnd wires,length cm,color,status,,,
us1-echo,p35,brown,55 cm,mounted,,us1-vcc,95 cm,white,ok,,,ok = wire ready
us1-trigger,p33,red,55 cm,mounted,,us1-gnd,95 cm,purple,ok,,,mounted = wire mounted
us2-echo,p27,yellow,64 cm,mounted,,us2-vcc,58 cm,white,ok,,,
us2-trigger,p26,orange,64 cm,mounted,,us2-gnd,58 cm,purple,ok,,,
us3-echo,p37,green,35 cm,mounted,,us4-vcc,83 cm,white,ok,,,
us3-trigger,p36,blue,35 cm,mounted,,us4-gnd,83 cm,black,ok,,,
us4-echo,p51,red,45 cm,mounted,,us3-vcc,61 cm,gray,ok,,,
us4-trigger,p50,brown,45 cm,mounted,,us3-gnd,61 cm,purple,ok,,,
us5-echo,p5,orange,,mounted,,us5-vcc,61 cm,white,ok,,,
us5-trigger,p4,dark gray,,mounted,,us5-gnd,61 cm,black,ok,,,
us6-echo,p29,green,94 cm,mounted,,us6-vcc,57 cm,white,ok,,,
us6-trigger,p28,blue,94 cm,mounted,,us6-gnd,57 cm,black,ok,,,
fork,a0,,,,,,,,,,,
,,,,,,,,,,,,
M2PWM (VNH5019 shield),6,brown -> brown,,ok (continuity-confirmed 2026-06-30),,motor driver - vcc,65 cm,orange,ok,,,
M1PWM (VNH5019 shield),7,yellow -> yellow,,ok (continuity-confirmed 2026-06-30),,motor driver - gnd,,,stuck!! -> COMMON GND MANDATORY with the Mega,,,
M1INA (VNH5019 shield),41,continuity-confirmed 2026-06-30,,ok,,photoresistor,,(already mounted),,,,
M1INB (VNH5019 shield),43,continuity-confirmed 2026-06-30,,ok,,fork->fork driver,,yellow-red,,,,
M2INA (VNH5019 shield),45,continuity-confirmed 2026-06-30,,ok,,,,,,,,
M2INB (VNH5019 shield),47,continuity-confirmed 2026-06-30,,ok,,,,,,,,
M1EN/DIAG (optional - fault reading),n/a,NOT WIRED (confirmed 2026-06-30),,not wired,,,,,,,,
M2EN/DIAG (optional - fault reading),n/a,NOT WIRED (confirmed 2026-06-30),,not wired,,,,,,,,
,,,,,,,,,,,,
rtc sda,sda 20,white -> gray (or odd purple),,mounted,,,,,,,,
rtc scl,scl 21,purple -> odd purple (or gray),,mounted,,OTHER,,,,,,
relay in1,p10,white,56 cm but we use the 63 cm one,mounted,,in,out,color,,,,
relay in2 (UVA lights - wired on the NC contact: relay at rest = lights ON),p11,black,56 cm ,mounted,,,,,,,,
fork gnd,gnd,red,37 cm,mounted,,,,,,,,
fork vcc,5V,orange,37 cm,mounted,,,,,,,,
fork a0,a0,light brown,37 cm,mounted,,,,,,,,
